Rating,Title,Review
5,Must buy!,Working Fine. Value for Money.
5,Brilliant,Good
5,Super!,"Presently doing a good kid, but I Shall review it after a month or so"
5,Must buy!,"Installation guy was on time. Explained everything very briefly. Washing Machine is cool, stylish and does job very well."
5,Wonderful,good product for this price range. can recommend.
3,Does the job,"Very less sound, washes clothes nicely...One limitation... It takes longer time to wash the clothes...It always takes 20-30 more minutes than predicted time for washing."
5,Best in the market!,Value for 💰🥰
5,Worth every penny,Nice product and Demo was good and satisfied...
1,Unsatisfactory,Good product
4,Worth the money,"Happy with delivery well packed by flipkart and demo as well given by samsung engineer visited.normal and less soiled clothes getting wash satisfactory result however soiled cloth will check and post review same .Less washing noise without trolly,design is pretty good takes normal minimum space."
5,Awesome,Good product
5,Wonderful,"Nice handy product from Samsung , best for day to day use."
5,Classy product,"Very good one ,this price of rang"
5,Simply awesome,"eview after 1 year use, The machine has performed exceptionally well. Recommended for this price segment ."
4,Good quality product,V.good
5,Simply awesome,Nice products in this price range.
5,Fabulous!,"uring the offer period, I have booked this machine based on Flipkart reviews with 11.8k but, received damaged product (dents on front side) then requested for replacement and same Flipkart accepted the request and delivered new one after 25 days (which was delayed in delivery)Next day Samsung customer executive was came and explained about the machine usage and he sold me stand(1400) for bottom, cover(400) and cleaning powder(600) total 2400/- charged for that.Using machine from last 15da..."
5,Best in the market!,eview is written after 1 year of use. Machine good in working condition and do not have any issue no  huge noise and works effectively. Make sure you keep the water outlet connection flow in easy way. I did not kept water connection in easy flow which makes your machine not to work properly since the waste water blocked in piple line  will stop your machinen program  to work and will display an error machine in display. Till now i did not face any  problem and I use it alternative two days. ...
5,Perfect product!,Great product
5,Excelent Performance,Less NoiseLess VibrationLess Complicated programmingSlightly higher water consumption than other brand.Go for it.
3,Nice,"Product is great, but the team came for installation confused me with respect to connection of inlet"
5,Excellent,cheap and best produt in this range.
4,Pretty good,Best product by samsung..but problem is not installation and demo arrange by notonly Samsung but also Flipkart....till date from delevery of product...and courier service is very much poor by Flipkart.... installation is arranged by my self at local service...it's very horrible things by Flipkart...
5,Must buy!,Wonderful washing machines..Brought offer days and got installed next day itself. Thank you flipkart provide me wonderful product
4,Worth the money,Good machine
4,Very Good,Satisfied fully
3,Decent product,Nice
5,Simply awesome,Super
4,Pretty good,Very good product
5,Awesome,Latest products nice feature
5,Fabulous!,"xcellent product value for money, good service  installation and demo by service guys"
5,Worth every penny,Good
3,Good,Very good product
5,Best in the market!,Hot water system not available
4,Delightful,No installation had to do self installation by paying plumber demo persons only came to open the box
5,Mind-blowing purchase,Very good product. Value for money.
5,Excellent,I love it. Transportation was on time. Installation was on time. Perfect
4,Wonderful,Good product
3,Does the job,It was good but some how I felt there should have been more options like you cannot set the rinse/spin times etc. Also you can't set the number of times you want your clothes to be washed and the water level need to be set manually.
5,Great product,xcellent product 🤘
1,Waste of money!,"I received the product before one month, still waiting for installation, worst experience"
3,Does the job,some balancing problem....like...if your surface is slightly tilted( Means not perfect plane)..... then drum of washing machine will collide with body of machine as a result a very huge noise will produce....so for proper working it should be placed at plane surface.
5,Excellent,good product
4,Value-for-money,Nice
5,Super!,"xcellent Machine,Superb Quality and Working"
5,Simply awesome,Nice product by samsung basic needs  completed In this model...easy to use fast delivery & Demo Exchange value also good
5,Fabulous!,It's Good. Samsung products are always preferred. As of now it's working fine.
4,Nice product,Good
5,Must buy!,Superb samsung
5,Great product,Supar but price is little high
4,Worth the money,k good
4,Worth the money,"Satisfied with the product usage except that from behind inlet sometimes little water comes out,its not that fit."
4,Very Good,"I am using this washing machine last one month.Pros.1. Value for money2. Reasonable performance3. Quality accessories.4. Correct delivery,  quick installation and demo5. Noise free running6. Especially Quick wash awesomeCons.1. Worst design2. Panel quality was average3. High water consumption4. Best soak separate and washing in quick wash cycle"
4,Worth the money,"verall Good,  Delivered on time and installed on time."
5,Great product,excellent product. everyone should try for this... energy efficient and can work on any mode smoothly
4,Good choice,Good
5,Wonderful,Nice product
3,Good,Product is good and it is working fine. It's been one month I have brought and it is working fine. But I had a very bad experience with delivery of this product. I had to hire local delivery person to get this product to my home.
5,Highly recommended,This product is very good and easy to handle and easy to use and easy to shift from one place to another place installation and demo was very good and service was good by samsung BUT I GOT A DEFECTIVE PRODUCT THE DISPLAY WAS NOT WORK PROPERLY AFTERTHAT I WAS LODGED A COMPLAIN AND AFTER  2 DAYS SERVICE CENTRE WAS CHANGED THE DISPLAY AND NOW MACHINE IS WORKING FIN
5,Awesome,"Product was really good, it came well packed . The delivery service was rewarding too"
5,Simply awesome,best
5,Super!,Fantastic
5,Best in the market!,very good product with good price
5,Perfect product!,Installation process ontime before show's the day he is explained very nice
5,Great product,The machine is making a very querky sound on the first use itself.
4,Delightful,verall good product . missing alarm
5,Super!,xcellent.
5,Great product★★★★★Excellent,★★★★★Excellent
5,Great product,Very good machine. I already have same model and now I brought for my family.
5,Simply awesome,very good....doesn't shake while washing cloths....functions are really good
5,Mind-blowing purchase,Value for money
5,Worth every penny,xcellent product for the price and on time delivery by Flipkart...
